id,country,league
0,,Group B
38,Austria,Bundesliga
40,Belgium,First Division A
41,Belgium,First Division A Qualification
42,International,Champions League
43,,Confederation Cup
44,International,Copa America
45,International,Copa Libertadores
46,Denmark,Superligaen
47,England,Premier League
48,England,Championship
50,International,EURO
51,Finland,Veikkausliiga
52,Finland,Veikkausliiga Qualification
53,France,Ligue 1
54,Germany,1. Bundesliga
55,Italy,Serie A
57,Netherlands,Eredivisie
58,Netherlands,Eredivisie Qualification
59,Norway,Eliteserien
60,Norway,Eliteserien Qualification
61,Portugal,Liga Portugal
63,Russia,Premier League
64,Scotland,Premiership
65,International,Summer Olympics (Women)
66,International,Summer Olympics
67,Sweden,Allsvenskan
68,Sweden,Allsvenskan Qualification
69,Switzerland,Super League
70,Switzerland,Super League Qualification
71,Turkey,Super Lig
73,International,Europa League
74,International,UEFA Super Cup
76,International,Women's World Cup Qualification
77,International,World Cup
78,International,FIFA Club World Cup
85,Denmark,1. Division
86,Italy,Serie B
87,Spain,LaLiga
108,England,League 1
109,England,League 2
110,France,Ligue 2
111,Netherlands,Eerste Divisie
112,Argentina,Liga Profesional
113,Australia,A-League
114,International,Friendlies
116,Wales,Premier League
117,England,National League
118,Armenia,Premier League
119,Austria,2. Liga
120,China,Super League
121,Costa Rica,Primera Division
122,Czech Republic,1. Liga
123,Scotland,Championship
124,Scotland,League One
125,Scotland,League Two
126,Ireland,Premier Division
127,Israel,Ligat HaAl
128,Israel,Leumit League
129,Northern Ireland,Premiership
130,United States,MLS
131,Peru,Primera Division
132,England,FA Cup
133,England,EFL Cup
134,France,Coupe de France
135,Greece,Super League 1
136,Cyprus,1. Division
137,Scotland,Scottish Cup
138,Spain,Copa del Rey
139,Spain,Super Cup
140,Spain,LaLiga2
141,Italy,Coppa Italia
142,England,EFL Trophy
143,Finland,Cup
144,Bolivia,Primera Division
145,Greece,Greece Cup
146,Germany,2. Bundesliga
147,Italy,Serie C
149,Belgium,Cup
151,Turkey,Turkish Cup
161,Uruguay,Primera Division Apertura
163,Switzerland,Challenge League
164,Switzerland,Cup
165,Turkey,1. Lig
166,Turkey,Super Cup
168,Sweden,Superettan
169,Sweden,Ettan Norra
171,Sweden,Cup
172,Sweden,Superettan Qualification
173,Slovenia,Prva Liga
174,Slovenia,Cup
176,Slovakia,Super Liga
177,Slovakia,FA Cup
179,Scotland,Challenge Cup
180,Scotland,League Cup
181,Scotland,Premiership playoff
182,Serbia,Super Liga
183,Serbia,Cup
185,Portugal,Liga Portugal 2
186,Portugal,Cup
187,Portugal,League Cup
188,Portugal,Super Cup
189,Romania,Liga I
190,Romania,Cup
192,Romania,Super Cup
193,Russia,Cup
195,Russia,Super Cup
196,Poland,Ekstraklasa
197,Poland,1. Division
198,Poland,FA Cup
199,Paraguay,Division Profesional
200,Poland,Super Cup
203,Norway,1. Divisjon
204,Norway,2. Divisjon
206,Norway,Cup
207,France,Super Cup
208,Germany,3. Liga
209,Germany,DFB Pokal
212,Hungary,NB I
213,Hungary,FA Cup
215,Iceland,Urvalsdeild
216,Iceland,1. Deild
217,Iceland,Cup
218,Ireland,First Division
219,Ireland,FAI Cup
220,Ireland,League Cup
221,Ireland,Premier Division Qualification
222,Italy,Super Cup
223,Japan,J. League
224,Japan,League Cup
225,Kazakhstan,Premier League
226,Latvia,Virsliga
228,Lithuania,A Lyga
229,Luxembourg,National Division
230,Mexico,Liga MX
231,Moldova,National Division
232,Montenegro,1. CFL
235,Netherlands,KNVB Cup
237,Netherlands,Super Cup
239,Denmark,2. Division
240,Denmark,3. Division
242,Denmark,DBU Pokalen
246,Ecuador,Serie A
247,England,Community Shield
248,Estonia,Meistriliiga
249,Macedonia,Prva Liga
250,Faroe Islands,Premier League
251,Finland,Ykkönen
252,Croatia,1. Division
253,Czech Republic,FNL
254,Czech Republic,Cup
256,Denmark,Kvindeligaen
260,Albania,Kategoria Superiore
262,Azerbaijan,Premier League
263,Belarus,Premier Division
264,Belgium,2. Division
266,Belgium,Super Cup
267,Bosnia-Herzegovina,Premier League
268,Brazil,Serie A
270,Bulgaria,First Professional League
271,Bulgaria,Cup
272,Bulgaria,Super Cup
273,Chile,Primera Division
274,Colombia,Primera A
275,Croatia,FA Cup
276,Croatia,Super Cup
278,Austria,Cup
287,International,EURO U19
288,International,EURO U21
289,International,Africa Cup of Nations
290,International,Asian Cup
292,International,Euro Championship (Women)
293,International,Friendlies (Women)
296,International,U-20 World Cup
297,International,CONCACAF Champions League
298,International,CONCACAF Gold Cup
299,International,Copa Sudamericana
300,,East Asian Championship
301,International,European Championship U-17
303,International,Uhren Cup
305,,Toulon Tournament
306,International,World Cup U17
329,,Gulf Cup
330,Cyprus,Cup
331,Norway,Toppserien
335,El Salvador,Primera Division
336,Guatemala,Liga Nacional
337,Honduras,Liga Nacional - Apertura
338,Russia,1. Division
339,Venezuela,Primera Division
342,Finland,Finland League Cup
344,International,Friendlies U21
440,Japan,Super Cup
441,Ukraine,Premier League
442,Ukraine,Cup
443,Ukraine,Super Cup
461,Singapore,S.League
489,International,Club Friendlies
491,International,Recopa Sudamericana
492,Slovenia,Prva Liga Qualification
512,Germany,Regionalliga
516,Algeria,Ligue 1
519,Egypt,Premier League
521,Cyprus,Super Cup
522,Ghana,Premier League
523,Iran,Persian Gulf Pro League
525,International,AFC Champions League
526,International,CAF Champions League
528,Jordan,Premier League
530,Morocco,Botola Pro
533,Nigeria,Professional Football League
535,Qatar,Qatar Stars League
536,Saudi Arabia,Premier League
537,South Africa,Premier Soccer League
538,United Arab Emirates,Pro League
544,Tunisia,Ligue I
